name,full_org_id,country,org_id,num_reg,source_of_num_reg
"Pinto Horse Association of America, INC",840020,840,020,200,Guess,
Dartmoor Pony Society,826021,826,021,200,Guess,
"Pony of the Americas Club, INC",840021,840,021,200,Guess,
Donkey Breed Society,826022,826,022,200,Guess,
Swedish Warmblod Association of North America,840022,840,022,200,Guess,
English Connemara Pony Society,826023,826,023,200,Guess,
The american Hanoverian Society,840023,840,023,200,Guess,
Eriskay Pony Society,826024,826,024,200,Guess,
The american Morgan Horse Association,840024,840,024,200,Guess,
Oldenburg Registry N.A. : Code for horses born in Canada only,124025,124,025,200,Guess,
Exmoor Pony Society,826025,826,025,200,Guess,
KWPN - NA : code for horses born in USA,840025,840,025,200,Guess,
KWPN - NA : code for horses born in USA,840025,840,025,200,Guess,
ISR Pony : Code for Ponies born in Canada only,124026,124,026,200,Guess,
Spotted Pony Breed Society (Great Britain),826026,826,026,200,Guess,
PAHR : code the Arabs born in USA only,840026,840,026,200,Guess,
Fell Pony Society,826027,826,027,200,Guess,
The United States Trotting Association,840027,840,027,200,Guess,
PAHR : code for Arabs born in Canada only,124028,124,028,200,Guess,
Fjord Horse National Stud Book Association of Great Britain,826028,826,028,200,Guess,
Welsh Pony and Cob Society of America,840028,840,028,200,Guess,
Welsh Pony and Cob Society of America,840028,840,028,200,Guess,
Welsh Pony and Cob Society of America,840028,840,028,200,Guess,
Welsh Pony and Cob Society of America,840028,840,028,200,Guess,
AHHA : Code for holsteiner horses born in Canada only,124029,124,029,200,Guess,
FHSGI - English Friesan horses only,826029,826,029,200,Guess,
Norwegian Fjord Horse Registry,840029,840,029,200,Guess,
AHS : Code for Hanoverian horse born in canada only,124030,124,030,200,Guess,
Hackney Horse Society,826030,826,030,200,Guess,
North American Shagya Society,840030,840,030,200,Guess,
Highland Pony Society,826031,826,031,200,Guess,
International Sport Horse Registry,840031,840,031,200,Guess,
Icelandic Horse Society,826032,826,032,200,Guess,
Lipizzan Association of America,840032,840,032,200,Guess,
International miniature Pony,826033,826,033,200,Guess,
Irish Draught Horse Society of North America,840033,840,033,200,Guess,
Irish Draught Horse Society,826034,826,034,200,Guess,
Lipizzaner national stud book association of Great Britain,826035,826,035,200,Guess,
International Curly Horse Organization,840035,840,035,200,Guess,
Nokota Horse Conservancy,840036,840,036,200,Guess,
National Pony Society,826037,826,037,200,Guess,
Friesian Horse Society Inc,840037,840,037,200,Guess,
New Forest Pony Breeding & Cattle Society,826038,826,038,200,Guess,
Continental Stud Book,840038,840,038,200,Guess,
Shetland Pony Stud-book Society,826039,826,039,200,Guess,
Friesian Sporthorse Association,840039,840,039,200,Guess,
Shire Horse Society,826040,826,040,200,Guess,
Sport Horse Breeding of Great Britain,826041,826,041,200,Guess,
American Heritage Horse Association,840041,840,041,200,Guess,
Spotted Horse and Pony Register,826042,826,042,200,Guess,
"Spanish Mustang Registry, Inc.",840042,840,042,200,Guess,
Suffolk Horse Society,826043,826,043,200,Guess,
California Vaquero Horse Association,840043,840,043,200,Guess,
Arab Horse Society,826044,826,044,200,Guess,
United States Icelandic Horse Congress,840044,840,044,200,Guess,
Trakehner Breeders Fraternity,826045,826,045,200,Guess,
Horse of the Americas Registry,840045,840,045,200,Guess,
Horse of the Americas Registry,840045,840,045,200,Guess,
Welsh Pony & Cob Society,826046,826,046,200,Guess,
The Akhal-Teke Horse Registry,840046,840,046,200,Guess,
The Scottish Sport Horse,826047,826,047,200,Guess,
Weatherbys - Code for non-TB horses born in Great Britain only,826048,826,048,200,Guess,
British Driving Society,826049,826,049,200,Guess,
British Harness Racing Club,826050,826,050,200,Guess,
British Equestrian Federation,826051,826,051,200,Guess,
Hurlingham Polo Association,826052,826,052,200,Guess,
Caspian Breed Society (UK),826053,826,053,200,Guess,
Coloured Horse and Pony Society UK,826054,826,054,200,Guess,
Scottish Icelandic Horse Association,826055,826,055,200,Guess,
Code for English Standard and Trotting Horses only,826056,826,056,200,Guess,
British Bavarian Warmblood Association,826057,826,057,200,Guess,
Appaloosa Horse Club UK,826058,826,058,200,Guess,
Fjord Horse Registry of Scotland and Fjord Horse UK,826059,826,059,200,Guess,
Comann Each nan Eilean,826061,826,061,200,Guess,
The American Saddlebred Association of Great Britain,826063,826,063,200,Guess,
British Show Jumping Association,826064,826,064,200,Guess,
The Haflinger Society of Great Britain,826065,826,065,200,Guess,
The Miniature Mediterranean Donkey Association,826066,826,066,200,Guess,
The Pleasure Horse Society,826067,826,067,200,Guess,
Horse Passport Agency Ltd,372069,372,069,200,Guess,
Horse Passport Agency Ltd,826069,826,069,200,Guess,
The Lipizanner Society of GB,826070,826,070,200,Guess,
The United Saddlebred Association UK,826071,826,071,200,Guess,
The Clydesdale Horse Society,826072,826,072,200,Guess,
The Pet-ID-JRC Horse Register,826073,826,073,200,Guess,
Veteran Horse Society,826075,826,075,200,Guess,
Selle Francais/EquiCours,826077,826,077,200,Guess,
American Miniature Horse Club GB,826078,826,078,200,Guess,
British Falabella Studbook,826079,826,079,200,Guess,
British Camargue Horse Society,826080,826,080,200,Guess,
Lusitano Breed Society of Great Britain,826081,826,081,200,Guess,
The Showjumping Association of Ireland - Ulster Region,826082,826,082,200,Guess,
"British Show Hack, Cob & Riding Horse Association",826084,826,084,200,Guess,
The UK Knabstrupper Association,826087,826,087,200,Guess,
Weatherbys - Code for English TB and non TB horses only,8260GB,826,0GB,200,Guess,
Hauptverband für traberzucht und rennen eV,276307,276,307,200,Guess,
Verband der Zuchter des Arabischen Pferdes e.V.,276308,276,308,200,Guess,
Trakehner Verband e.V.,276309,276,309,200,Guess,
Zuchtverband fur deutsche Pferde e.V,276310,276,310,200,Guess,
Freisenpferde-Zuchtverband eV,276311,276,311,200,Guess,
Deutsche Quarter Horse Association,276312,276,312,200,Guess,
"Zuchtverband für Shagya-Araber, Anglo-Araber und Araber e V",276313,276,313,200,Guess,
Paint Horse Club Germany e.V.,276314,276,314,200,Guess,
Lipizzaner Zuchtverband Deutschland e.V.,276316,276,316,200,Guess,
European Colored Horses Association,276317,276,317,200,Guess,
Verband der Zuchter des Holsteiner Pferdes,276321,276,321,200,Guess,
Pferdestammbuch Schleswig-Holstein / Hamburg e V,276322,276,322,200,Guess,
Verband D Pferdezuchter Meckl-Vorpommern e.V,276327,276,327,200,Guess,
Verband D Pferdezuchter Meckl-Vorpommern e.V,276327,276,327,200,Guess,
Zuchtverband für das Ostfriesische u. Alt-Oldenburger Pferd e V,276330,276,330,200,Guess,
Verband hannoverscher Warmblutzüchter,276331,276,331,200,Guess,
Verband der Zuchter des Oldenburger Pferdes,276333,276,333,200,Guess,
Verband der Pony-und Kleinpferdezüchter Hannover e V,276334,276,334,200,Guess,
Pferdestammbuch Weser-Ems e V,276335,276,335,200,Guess,
Stammbuch für Kaltblutpferde Niedersachsens e V,276336,276,336,200,Guess,
Pferdezuchtverband Sachsen-Anhalt e.V,276337,276,337,200,Guess,
Westfälisches Pferdestammbuch e.V,276341,276,341,200,Guess,
Rheinisches Pferdestammbuch e.V,276343,276,343,200,Guess,
Pferdezuchtverband Rheinland-Pfalz-Saar,276351,276,351,200,Guess,
Pferdezuchtverband Berlin-Brandenburg,276357,276,357,200,Guess,
Verband Hessischer Pferdezüchter,276361,276,361,200,Guess,
Verband der Ponyzüchter Hessen e V,276363,276,363,200,Guess,
Deutscher Pinto Zuchtverband e.V.,276366,276,366,200,Guess,
Verband Thüringer Pferdezüchter e.V.,276367,276,367,200,Guess,
Pferdezuchtverband Baden-Württemberg,276373,276,373,200,Guess,
Pferdezuchtverband Baden-Württemberg,276373,276,373,200,Guess,
Landesverband Bayerischer Pferdezüchter,276381,276,381,200,Guess,
Bayerischer Zuchtverband für Kleinpferde und Specialpferderassen,276384,276,384,200,Guess,
Pferdezuchtverband Sachsen e.V,276387,276,387,200,Guess,
Hauptverband für traberzucht und rennen eV,276407,276,407,200,Guess,
Verband der Zuchter und Freunde des Arabischen Pferdes e.V.,276408,276,408,200,Guess,
Trakehner Verband e.V.,276409,276,409,200,Guess,
Zuchtverband fur deutsche Pferde e.V,276410,276,410,200,Guess,
Freisenpferde-Zuchtverband eV,276411,276,411,200,Guess,
Deutsche Quarter Horse Association,276412,276,412,200,Guess,
"Zuchtverband für Shagya-Araber, Anglo-Araber und Araber e V",276413,276,413,200,Guess,
Paint Horse Club Germany e.V.,276414,276,414,200,Guess,
Horse Sport Ireland,372414,372,414,200,Guess,
Lipizzaner Zuchtverband Deutschland e.V.,276416,276,416,200,Guess,
European Colored Horses Association,276417,276,417,200,Guess,
Verband der Zuchter des Holsteiner Pferdes,276421,276,421,200,Guess,
Pferdestammbuch Schleswig-Holstein / Hamburg e V,276422,276,422,200,Guess,
Verband D Pferdezuchter Meckl-Vorpommern e.V,276427,276,427,200,Guess,
Zuchtverband für das Ostfriesische u. Alt-Oldenburger Pferd e V,276430,276,430,200,Guess,
Verband hannoverscher Warmblutzüchter,276431,276,431,200,Guess,
Verband der Zuchter des Oldenburger Pferdes,276433,276,433,200,Guess,
Verband der Pony-und Kleinpferdezüchter Hannover e V,276434,276,434,200,Guess,
Pferdestammbuch Weser-Ems e V,276435,276,435,200,Guess,
Stammbuch für Kaltblutpferde Niedersachsens e V,276436,276,436,200,Guess,
Pferdezuchtverband Sachsen-Anhalt e.V,276437,276,437,200,Guess,
Westfälisches Pferdestammbuch e.V,276441,276,441,200,Guess,
Rheinisches Pferdestammbuch e.V,276443,276,443,200,Guess,
Pferdezuchtverband Rheinland-Pfalz-Saar,276451,276,451,200,Guess,
Pferdezuchtverband Sachsen-Thüringen,276455,276,455,200,Guess,
Pferdezuchtverband Berlin-Brandenburg,276457,276,457,200,Guess,
Verband Hessischer Pferdezüchter,276461,276,461,200,Guess,
Verband der Ponyzüchter Hessen e V,276463,276,463,200,Guess,
Deutscher Pinto Zuchtverband e.V.,276466,276,466,200,Guess,
Verband Thüringer Pferdezüchter e.V.,276467,276,467,200,Guess,
Pferdezuchtverband Baden-Württemberg,276473,276,473,200,Guess,
Verein der Freunde und Züchter des Berberpferdes e.V.,276478,276,478,200,Guess,
Appaloosa Horse Club Germany e.V. (ApHCG),276479,276,479,200,Guess,
Landesverband Bayerischer Pferdezüchter,276481,276,481,200,Guess,
Bayerischer Zuchtverband für Kleinpferde und Specialpferderassen,276484,276,484,200,Guess,
Zuchtverband für Senner Pferde e.V.,276486,276,486,200,Guess,
Pferdezuchtverband Sachsen e.V,276487,276,487,200,Guess,
Landesverband Baden-Württemberg für Leistungsprüfungen in der Tierzucht e.V.,276501,276,501,200,Guess,
Beauftragte Stelle des Freistaats Bayern,276502,276,502,200,Guess,
The Jockey Club of America (canadian TB only),124CAN,124,CAN,200,Guess,
French Horse - TB,2500FR,250,FR,200,Guess,
Direktorium für Vollblutzucht und Rennen,276GER,276,GER,200,Guess,
Weatherbys Ireland,372IRE,372,IRE,200,Guess,
The Jockey Club of America,840USA,840,USA,200,Guess,
Arab Horse Society of Zimbabwe,716001,716,001,200,Guess,
Yugoslavia Trotters (?),891001,891,001,200,Guess,
