country,iso3166,population,pct_registered,confidence in pct_reg,source of pct_reg,pick
Tonga,776,11874,0.01,0,Guess,0
Trinidad and Tobago,780,1435,0.01,0,Guess,0
United Arab Emirates,784,417898,0.01,0,Guess,0
Tunisia,788,57281,0.01,0,Guess,0
Turkey,792,122704,0.01,0,Guess,0
Turkmenistan,795,25975,0.01,0,Guess,0
Turks and Caicos Islands,796,25975,0.01,0,Guess,0
Tuvalu,798,25975,0.01,0,Guess,0
Uganda,800,25975,0.01,0,Guess,0
Ukraine,804,305800,0.8,0,Guess,0
Macedonia (the former Yugoslav Republic of),807,305800,0.01,0,Guess,0
Egypt,818,75663,0.01,0,Guess,0
UK,826,75663,0.8,0,Guess,60530
Guernsey,831,75663,0.8,0,Guess,0
Jersey,832,75663,0.01,0,Guess,0
Isle of Man,833,75663,0.01,0,Guess,0
"Tanzania, United Republic of",834,75663,0.01,0,Guess,0
USA,840,10525766,0.8,0,Guess,8420612
Virgin Islands (U.S.),850,10525766,0.01,0,Guess,0
Burkina Faso,854,41053,0.01,0,Guess,0
Uruguay,858,415000,0.01,0,Guess,0
Uzbekistan,860,216900,0.01,0,Guess,0
Venezuela (Bolivarian Republic of),862,527031,0.01,0,Guess,0
Wallis and Futuna,876,175,0.01,0,Guess,0
Samoa,882,1927,0.01,0,Guess,0
Yemen,887,1961,0.01,0,Guess,0
Zambia,894,1961,0.01,0,Guess,0
